Algorithm;Vertices;Edges;Units;Time (ms);Units left;Units left percentage;Paths;Longest path length
LPE;200;5969;100;836;0;0.0;40;3
SPE;200;5969;100;101;0;0.0;40;3
LPE;200;5969;500;1314;0;0.0;314;4
SPE;200;5969;500;214;0;0.0;314;4
LPE;200;5969;1000;2445;0;0.0;751;5
SPE;200;5969;1000;491;0;0.0;751;5
LPE;200;11939;100;798;0;0.0;56;3
SPE;200;11939;100;91;0;0.0;56;3
LPE;200;11939;500;2204;0;0.0;366;4
SPE;200;11939;500;544;0;0.0;366;4
LPE;200;11939;1000;4517;0;0.0;819;5
SPE;200;11939;1000;1024;0;0.0;819;5
LPE;200;17910;100;1408;0;0.0;84;3
SPE;200;17910;100;170;0;0.0;84;3
LPE;200;17910;500;3669;0;0.0;456;4
SPE;200;17910;500;996;0;0.0;456;4
LPE;200;17910;1000;8153;0;0.0;951;5
SPE;200;17910;1000;2027;0;0.0;951;5
LPE;300;13454;100;818;0;0.0;25;3
SPE;300;13454;100;44;0;0.0;25;3
LPE;300;13454;500;1723;0;0.0;152;4
SPE;300;13454;500;278;0;0.0;152;4
LPE;300;13454;1000;2642;0;0.0;348;4
SPE;300;13454;1000;645;0;0.0;348;4
LPE;300;26909;100;2445;0;0.0;50;3
SPE;300;26909;100;166;0;0.0;50;3
LPE;300;26909;500;5295;0;0.0;195;4
SPE;300;26909;500;572;0;0.0;195;4
LPE;300;26909;1000;7420;0;0.0;430;4
SPE;300;26909;1000;1826;0;0.0;430;4
LPE;300;40365;100;4565;0;0.0;98;3
SPE;300;40365;100;516;0;0.0;98;3
LPE;300;40365;500;10898;0;0.0;495;4
SPE;300;40365;500;2612;0;0.0;495;4
LPE;300;40365;1000;23055;0;0.0;995;4
SPE;300;40365;1000;5279;0;0.0;995;4
LPE;400;23939;100;2561;0;0.0;55;3
SPE;400;23939;100;238;0;0.0;55;3
LPE;400;23939;500;7502;0;0.0;412;4
SPE;400;23939;500;1622;0;0.0;412;4
LPE;400;23939;1000;12690;0;0.0;903;5
SPE;400;23939;1000;3471;0;0.0;903;5
LPE;400;47879;100;5923;0;0.0;70;3
SPE;400;47879;100;418;0;0.0;70;3
LPE;400;47879;500;12400;0;0.0;394;4
SPE;400;47879;500;2534;0;0.0;394;4
LPE;400;47879;1000;22394;0;0.0;884;4
SPE;400;47879;1000;4387;0;0.0;884;4
LPE;400;71820;100;6790;0;0.0;78;3
SPE;400;71820;100;749;0;0.0;78;3
LPE;400;71820;500;15987;0;0.0;387;4
SPE;400;71820;500;3230;0;0.0;387;4
LPE;400;71820;1000;30738;0;0.0;885;4
SPE;400;71820;1000;9905;0;0.0;885;4
LPE;50;367;100;15;0;0.0;75;6
SPE;50;367;100;2;0;0.0;75;6
LPE;50;367;500;40;300;60.0;169;34
SPE;50;367;500;5;300;60.0;169;34
LPE;50;367;1000;40;800;80.0;169;34
SPE;50;367;1000;5;800;80.0;169;34
LPE;50;734;100;28;0;0.0;70;4
SPE;50;734;100;5;0;0.0;70;4
LPE;50;734;500;161;100;20.0;359;47
SPE;50;734;500;18;100;20.0;359;47
LPE;50;734;1000;145;600;60.0;359;47
SPE;50;734;1000;19;600;60.0;359;47
LPE;50;1102;100;41;0;0.0;79;4
SPE;50;1102;100;7;0;0.0;79;4
LPE;50;1102;500;277;0;0.0;472;9
SPE;50;1102;500;98;0;0.0;472;9
LPE;50;1102;1000;485;400;40.0;572;50
SPE;50;1102;1000;39;400;40.0;572;50
LPE;750;84262;100;12947;0;0.0;17;3
SPE;750;84262;100;196;0;0.0;17;3
LPE;750;84262;500;14999;0;0.0;81;3
SPE;750;84262;500;902;0;0.0;81;3
LPE;750;84262;1000;18961;0;0.0;184;4
SPE;750;84262;1000;2261;0;0.0;184;4
LPE;750;168524;100;29298;0;0.0;69;3
SPE;750;168524;100;1658;0;0.0;69;3
LPE;750;168524;500;46793;0;0.0;326;3
SPE;750;168524;500;7697;0;0.0;326;3
LPE;750;168524;1000;82702;0;0.0;734;4
SPE;750;168524;1000;16250;0;0.0;734;4
